Feedback_ID,Customer_Name,Product,Region,Rating,Feedback_Comment,Date
FB1181,Customer_182,Headphones,East,1,Poor battery life,2024-06-30
FB1182,Customer_183,Laptop,North,4,Not worth the price,2024-07-01
FB1183,Customer_184,Smartphone,West,1,Poor battery life,2024-07-02
FB1184,Customer_185,Smartphone,East,5,Customer service was unhelpful,2024-07-03
FB1185,Customer_186,Tablet,West,3,Excellent customer support,2024-07-04
FB1186,Customer_187,Smartwatch,South,3,Poor battery life,2024-07-05
FB1187,Customer_188,Laptop,North,1,Good value for money,2024-07-06
FB1188,Customer_189,Laptop,South,4,Highly recommend it,2024-07-07
FB1189,Customer_190,Headphones,East,4,Not worth the price,2024-07-08
FB1190,Customer_191,Smartphone,South,5,Customer service was unhelpful,2024-07-09
FB1191,Customer_192,Smartwatch,South,1,Customer service was unhelpful,2024-07-10
FB1192,Customer_193,Tablet,East,3,Excellent customer support,2024-07-11
FB1193,Customer_194,Smartphone,West,4,Good value for money,2024-07-12
FB1194,Customer_195,Tablet,South,1,Not worth the price,2024-07-13
FB1195,Customer_196,Headphones,West,4,Late delivery and bad packaging,2024-07-14
FB1196,Customer_197,Headphones,South,4,Customer service was unhelpful,2024-07-15
FB1197,Customer_198,Laptop,West,3,Very satisfied with the product,2024-07-16
FB1198,Customer_199,Smartwatch,East,2,Poor battery life,2024-07-17
FB1199,Customer_200,Tablet,South,5,Poor battery life,2024-07-18
